"Indexcd","Idxtrd01","Idxtrd02","Idxtrd03","Idxtrd04","Idxtrd05","Idxtrd06","Idxtrd07"
"000001","2016-12-12","3233.666","3245.095","3149.896","3152.970","2747084.61","29426013.85"
"000001","2016-12-13","3138.988","3162.496","3118.712","3155.037","1851644.95","20317545.69"
"000001","2016-12-14","3149.377","3170.021","3136.348","3140.531","2013588.87","21920616.02"
"000001","2016-12-15","3125.757","3138.779","3100.913","3117.677","1899906.26","21286323.93"
"000001","2016-12-16","3111.515","3128.874","3106.346","3122.982","1649886.99","18984475.29"
"000001","2016-12-19","3120.696","3125.284","3110.082","3118.085","1541697.16","17450024.07"
"000001","2016-12-20","3115.898","3117.015","3084.800","3102.876","1574267.59","17161188.11"
"000001","2016-12-21","3107.240","3140.251","3107.240","3137.430","1867066.07","20424780.52"
"000001","2016-12-22","3132.156","3143.169","3126.887","3139.558","1678049.90","18598155.69"
"000001","2016-12-23","3134.929","3138.404","3103.748","3110.154","1661767.69","18928117.75"
"000001","2016-12-26","3095.579","3122.881","3068.415","3122.569","1525718.81","17055561.09"
"000001","2016-12-27","3117.387","3127.883","3113.745","3114.664","1415289.39","16219390.85"
"000001","2016-12-28","3113.767","3118.782","3094.549","3102.236","1357270.87","15432965.30"
"000001","2016-12-29","3095.845","3111.799","3087.344","3096.097","1326232.92","14991918.28"
"000001","2016-12-30","3097.345","3108.839","3089.989","3103.637","1332671.30","15173278.18"
"000001","2017-01-03","3105.309","3136.456","3105.309","3135.921","1415671.87","15988713.95"
"000001","2017-01-04","3133.787","3160.103","3130.115","3158.794","1678608.50","19591429.26"
"000001","2017-01-05","3157.906","3168.502","3154.281","3165.411","1747276.45","19969202.67"
"000001","2017-01-06","3163.776","3172.035","3153.025","3154.321","1837089.66","20729603.84"
"000001","2017-01-09","3148.532","3173.136","3147.735","3171.236","1717140.75","19211057.93"
"000001","2017-01-10","3167.570","3174.578","3157.332","3161.671","1797592.16","19496321.66"
"000001","2017-01-11","3156.686","3167.029","3136.267","3136.754","1783622.21","18918645.94"
"000001","2017-01-12","3133.602","3144.970","3115.979","3119.289","1488892.40","16192229.65"
"000001","2017-01-13","3116.083","3130.515","3102.163","3112.764","1562742.14","17443855.40"
"000001","2017-01-16","3104.492","3105.142","3044.291","3103.428","2578859.96","26282604.18"
"000001","2017-01-17","3087.030","3108.907","3072.338","3108.775","1361578.61","15475755.47"
"000001","2017-01-18","3104.766","3123.720","3098.586","3113.012","1317801.28","14454671.93"
"000001","2017-01-19","3104.972","3115.778","3094.006","3101.299","1238514.20","13928046.15"
"000001","2017-01-20","3095.819","3125.660","3095.215","3123.139","1223667.77","14147181.14"
"000001","2017-01-23","3125.421","3145.841","3125.421","3136.775","1326603.92","14814573.59"
"000001","2017-01-24","3134.592","3149.531","3131.218","3142.553","1259738.81","13455385.22"
"000001","2017-01-25","3137.646","3151.472","3133.191","3149.555","1120738.27","12676583.00"
